40 Ft -8'High- Truck|12090.4|2336.8|2336.8|27669134.57
40 Ft -9'High- Truck|12090.4|2336.8|2590.8|28122726.94
40 Ft Platform Truck|12192|2438.4|2438.4|30617484.98
Ä¬ÈÏÈÝÆ÷|11800|2130|2720|11111000
Ä¬ÈÏÈÝÆ÷|12080|2350|2680|20000000
Ä¬ÈÏÈÝÆ÷|12080|2350|2650|20000000
Ä¬ÈÏÈÝÆ÷|100000|10000|10000|1000000
Ä¬ÈÏÈÝÆ÷|1000000|1000000|1000000|1111000
Ä¬ÈÏÈÝÆ÷|10000|10000|10000|1111000
Ä¬ÈÏÈÝÆ÷|12080|2350|2680|1111000
Ä¬ÈÏÈÝÆ÷|12080|2350|2680|20000000
Ä¬ÈÏÈÝÆ÷|12190|2440|2900|20000000
Ä¬ÈÏÈÝÆ÷|12080|2350|2680|20000000
Ä¬ÈÏÈÝÆ÷|12190|2440|2900|20000000
11|11000|11000|11000|1111111000
Ä¬ÈÏÈÝÆ÷|12000|2300|2300|100000000
