baby wet wipes|2000|1200|500|35000|20
multi-purpose cleaning cloth|320|270|250|6000|200
pacifier|200|320|210|4000|40

默认容器|12080|2350|2680|20000000
默认商品|415|315|185|6200|2842
默认商品|530|450|170|1000|1664
默认商品|415|315|185|6200|2842
默认商品|415|315|185|6200|2744
默认商品|10000|1000|1000|1000|1000
默认商品|5000|10000|1000|1000|20
默认商品|100|1000|100|1000|7176
默认商品|1000|100|100|1000|7176
默认商品|415|315|185|6200|2842
默认商品|665|470|330|2000|756
默认商品|415|315|185|6200|2842
默认商品|835|470|350|2000|333
默认商品|665|470|330|2000|1333
33|1000|1000|1000|1000|1331
默认商品|400|300|300|10000|1421
